	model1_A549_1	model1_A549_2	model1_K562_1	model1_K562_2	model1_HepG2_1	model1_HepG2_2	model1_MCF7_1	model1_MCF7_2	model2_A549_1	model2_A549_2	model2_K562_1	model2_K562_2	model2_HepG2_1	model2_HepG2_2	model2_MCF7_1	model2_MCF7_2	model3_A549_1	model3_A549_2	model3_K562_1	model3_K562_2	model3_HepG2_1	model3_HepG2_2	model3_MCF7_1	model3_MCF7_2	model4_A549_1	model4_A549_2	model4_K562_1	model4_K562_2	model4_HepG2_1	model4_HepG2_2	model4_MCF7_1	model4_MCF7_2	model5_A549_1	model5_A549_2	model5_K562_1	model5_K562_2	model5_HepG2_1	model5_HepG2_2	model5_MCF7_1	model5_MCF7_2	model6_A549_1	model6_A549_2	model6_K562_1	model6_K562_2	model6_HepG2_1	model6_HepG2_2	model6_MCF7_1	model6_MCF7_2
model1_A549_1	1.0	0.7153751170402184	0.35006407759619584	0.36460455750884946	0.4207031834325274	0.43538081232732356	0.4549812088652048	0.47848544578780283	0.871877399765198	0.6707979488390989	0.33969867876133414	0.3556659191173869	0.40962181325655594	0.4310949985167025	0.4423881541784768	0.4805806645445464	0.9135558447524216	0.7252352009856439	0.3453950580145188	0.33479539992792484	0.4101638223737146	0.41660207064197197	0.4620930231333095	0.4964144128217156	0.8063361226069194	0.5862937612783281	0.28907180170681124	0.3660868102090743	0.4015947075893461	0.3979508582427899	0.40026403519492776	0.3767701537419985	0.9264904301727093	0.7198703394017875	0.3525884920654105	0.3661859807270794	0.42231530545105384	0.4316503842673685	0.4656977960435327	0.4829622138580374	0.9151011333011881	0.7071859756736274	0.3514356825079026	0.36637682188912013	0.41760731928547823	0.4281917315238625	0.46102106579091506	0.4802016938609779
model1_A549_2	0.7153751170402184	1.0	0.40760296530573875	0.40820765204036435	0.504464119404995	0.5182303945105534	0.5286100421815025	0.5439292079938781	0.6785069880453348	0.9269554041101993	0.3995932564486818	0.39450012126125455	0.4958525521068558	0.5173154552528404	0.5200813783533057	0.5464144821680704	0.7560443613509218	0.9244627158790063	0.4011563019974487	0.38812067679592194	0.49061803197473214	0.5018416609766501	0.5332896304884518	0.5518194996896337	0.6622196657362499	0.834419696609652	0.3609229879494636	0.38318218265719894	0.49053972239069366	0.47829276385456004	0.45583725499342187	0.452134354048923	0.7475876793008609	0.9377147858906275	0.4112703337669752	0.4161932370400589	0.5047331513331957	0.5124174722718428	0.542149053929538	0.5535008944482657	0.7350079543072683	0.9386865824999534	0.41517048878294194	0.4246089159406314	0.5033255576173905	0.5150901451236355	0.5371141707497032	0.5506493351660822
model1_K562_1	0.35006407759619584	0.40760296530573875	1.0	0.8729731904433279	0.4547461534479488	0.45301949287429943	0.3840624978869677	0.406459562198762	0.32061997344036247	0.3644242566821146	0.9584802713352505	0.8371375676238267	0.4454618986202701	0.45640771791933993	0.37854888843863516	0.400427429928677	0.37505267334346964	0.40159245269455107	0.9566607528931577	0.8281686538551926	0.4567346831269916	0.4407321649284494	0.39565949265890904	0.3981592323696788	0.3427041850187428	0.3133712019462961	0.7137816027323949	0.6420304265049258	0.4157536588016268	0.38554950745333816	0.32725108254558377	0.3399225252339508	0.36494363904662613	0.427779940545087	0.9731515814178909	0.8941426111621225	0.46291295821645456	0.4528182764901317	0.3980932522407214	0.40830178376797316	0.354115919020344	0.40666160331644824	0.9770259455322644	0.9016069780481654	0.4573028840847335	0.44924663262885356	0.3865785763797508	0.39743184503071033
model1_K562_2	0.36460455750884946	0.40820765204036435	0.8729731904433279	1.0	0.4646363565331897	0.46003084843726927	0.39219340163614	0.4164091194177632	0.32811779285760256	0.3571862158820004	0.8817596502803287	0.9601862251028666	0.4515913608137376	0.46483983423760683	0.38377727797862177	0.4072647746828538	0.3854964330493131	0.3975377125731177	0.862957762806457	0.8963707876107464	0.47261807735348965	0.4444497473454075	0.40039861304808316	0.39810833866973244	0.35982776999982724	0.30080925324242225	0.6064517612347632	0.6445417983994466	0.4105597908334452	0.3727043127592985	0.32960634453494386	0.3392448848911969	0.3793822450058663	0.43309239654075515	0.8997499914002057	0.9746723692399505	0.4773592778251547	0.4609339901624722	0.4011309835662072	0.4115780547898564	0.3653397105346187	0.4102045532949602	0.8857341304266182	0.9570202328804155	0.46715930432623753	0.45303144600891937	0.3885494822106606	0.39771604761797247
model1_HepG2_1	0.4207031834325274	0.504464119404995	0.4547461534479488	0.4646363565331897	1.0	0.9350642282625424	0.4854233608492045	0.488204631820798	0.3990369725670164	0.464184003584109	0.4504476753806606	0.45291318818122	0.9751674153058931	0.9169583724933601	0.4775474502861745	0.48275441013773485	0.46311682184985925	0.5078125380795229	0.4489171053213218	0.4542848163912514	0.9715199944617814	0.9246901666457166	0.4973257268302233	0.4851800846246081	0.41302321983682927	0.3933494138232989	0.3731156612125666	0.3864118885719263	0.8810021875927999	0.7677402023990161	0.40202351089494165	0.40136580800675725	0.4470260960555589	0.531136528359043	0.466709619005057	0.47858263943026513	0.9864980930384488	0.9422078124584409	0.49711660755727444	0.49815361533974295	0.43588841093633834	0.5060127638819409	0.4687177248391366	0.48559359299780613	0.9811898723753189	0.926940238852503	0.487705807176512	0.4848562084633577
model1_HepG2_2	0.43538081232732356	0.5182303945105534	0.45301949287429943	0.46003084843726927	0.9350642282625424	1.0	0.4968067819667055	0.49931711969456993	0.41565859384861453	0.4798776818079053	0.44732222441038105	0.4457896882833148	0.9205390804737426	0.9716348673777988	0.4876369371395074	0.4946568479665758	0.47837625934487504	0.5190086765570243	0.4477070823236484	0.45109841712845006	0.9214060922957117	0.9684008272256658	0.5098994024236294	0.4992123010369812	0.4198865397446898	0.4043902294193257	0.3775989022311014	0.3959910328956233	0.8490570747049206	0.835045317091088	0.4118573069956774	0.40818785888670706	0.46152710815121334	0.5425889502225597	0.463571923988296	0.47480677945480887	0.9356913780451892	0.9883572694989643	0.5085644653569155	0.5096756784942306	0.4505112262335348	0.519916868345847	0.46574679191651025	0.4836916890337444	0.9290359505543746	0.9851648547500456	0.49958940421807535	0.49722671550683706
model1_MCF7_1	0.4549812088652048	0.5286100421815025	0.3840624978869677	0.39219340163614	0.4854233608492045	0.4968067819667055	1.0	0.8614881519704677	0.47818083147300244	0.5060162302181382	0.3818680710579904	0.38124736576494117	0.4844816424851448	0.5034139109901982	0.9652916481265306	0.8499476920198565	0.4987401650220593	0.5141066477348895	0.37469628837657076	0.3794139474621739	0.47999146442928337	0.48139862875725636	0.9426151779759872	0.8394625982206277	0.42387552289899666	0.4108663194945204	0.32762809461852	0.3651341070847143	0.47789430375812475	0.4501765443664529	0.8006014282851832	0.6837263118386575	0.4876850428735138	0.545998004242312	0.39353763446096757	0.401819355922103	0.4911564375179858	0.49239947843936543	0.9547419678927187	0.8780696664515589	0.4843983559718632	0.542124299619961	0.3957160181600224	0.41278900197061225	0.4910813454828487	0.4955030230058153	0.9655856609700642	0.8581250155531166
model1_MCF7_2	0.47848544578780283	0.5439292079938781	0.406459562198762	0.4164091194177632	0.488204631820798	0.49931711969456993	0.8614881519704677	1.0	0.48018180265565813	0.5107032857616166	0.4018085382222575	0.4044208793301921	0.4852424357651862	0.5065247343695101	0.851651486200871	0.95475220390515	0.5119712216047674	0.5279167510194441	0.39536709384210306	0.4025471573918129	0.48141817999502634	0.48209068027023316	0.850735247197108	0.9106006685679062	0.43682577482010315	0.42765305453467095	0.3491723407848552	0.3694805370698304	0.4797578287187008	0.4523105559358715	0.7030762548756369	0.8121999935433593	0.5027274607674486	0.553808017711915	0.4163236955583152	0.42522352320450757	0.495283587600366	0.4955262853027254	0.8755386234207498	0.9422867015264755	0.4949898291279268	0.5486315442045	0.41963926935724044	0.43537373324845113	0.495074776930393	0.4983806513813244	0.8672625697943677	0.9506393045109308
model2_A549_1	0.871877399765198	0.6785069880453348	0.32061997344036247	0.32811779285760256	0.3990369725670164	0.41565859384861453	0.47818083147300244	0.48018180265565813	1.0	0.6520455824727792	0.31188956503455173	0.31825034549876124	0.3920377888926594	0.414613114673558	0.4643118810256055	0.48468931735220894	0.8503989841038088	0.6829099655923935	0.3154080459049166	0.2951550167211352	0.38633260744014103	0.39849252579344463	0.47669773887640904	0.4979471549050924	0.7771686313557581	0.551343119782373	0.2795604218924743	0.3551319740326277	0.38975988168050935	0.38964174799838114	0.410845306364272	0.36470526699741723	0.8830825395860954	0.6852332379447773	0.3217897169644742	0.32999913604766745	0.3998471543212267	0.4108381257855206	0.47359788987770185	0.48973793207314453	0.8903679715287032	0.6813160919095134	0.32249408708058186	0.3338993083194335	0.39748878640722196	0.41089286552348436	0.4774045089484703	0.4889708385082176
model2_A549_2	0.6707979488390989	0.9269554041101993	0.3644242566821146	0.3571862158820004	0.464184003584109	0.4798776818079053	0.5060162302181382	0.5107032857616166	0.6520455824727792	1.0	0.3567622974809239	0.344023992457048	0.45723848287466723	0.4774149562797909	0.4978274696947794	0.5161378340564892	0.712214865426976	0.8896157738760272	0.361754466037209	0.342403386343098	0.4483979238552872	0.46668269200087	0.5067348602853236	0.5207575872292354	0.6159308709704351	0.8481719387747657	0.33699240932785185	0.3539415122829872	0.4574944660696495	0.45106117310049765	0.43250681996422713	0.42231624643494237	0.7036261524744359	0.9129320771202671	0.3650595527534311	0.36616415434506155	0.46237940090057633	0.4731788123168391	0.5132918086648077	0.5229702668915316	0.698550346635731	0.9165463525120081	0.36988684245864717	0.3762330255770893	0.4617965128962	0.4772644850866327	0.5136111692825428	0.5233413662073874
