,A549,HepG2,K562,MCF7
HepG2-AKAP8L,1,1,0,1
HepG2-MTA1,1,1,0,1
HepG2-SRSF1,1,1,0,1
HepG2-ZFP90,1,1,0,1
HepG2-ZNF138,1,1,0,1
HepG2-ZNF407,1,1,0,1
HepG2-ZNF572,1,1,0,1
HepG2-ZNF768,1,1,0,1
HepG2-ZSCAN25,1,1,0,1
MCF-7-TCF12,1,1,0,1
HepG2-BCL3,1,1,0,0
HepG2-CBFB,1,1,0,0
HepG2-CREB3,1,1,0,0
HepG2-MEIS1,1,1,0,0
HepG2-NFATC3,1,1,0,0
HepG2-TGIF2,1,1,0,0
HepG2-ZC3H13,1,1,0,0
HepG2-ZNF230,1,1,0,0
HepG2-ZNF33B,1,1,0,0
HepG2-ZNF350,1,1,0,0
HepG2-ZNF605,1,1,0,0
HepG2-ZNF687,1,1,0,0
HepG2-ZNF772,1,1,0,0
K562-RBFOX2,1,0,1,0
K562-SMARCA5,1,0,1,0
K562-TFAP4,1,0,1,0
MCF-7-ZNF687,1,0,0,1
HepG2-CAMTA2,0,1,0,1
HepG2-RBM39,0,1,0,1
HepG2-TOPORS,0,1,0,1
HepG2-ZBTB46,0,1,0,1
A549-E2F6,1,0,0,0
A549-EHF,1,0,0,0
A549-ELF1,1,0,0,0
A549-ETS1,1,0,0,0
A549-HOXB13,1,0,0,0
A549-HOXB5,1,0,0,0
A549-MAX,1,0,0,0
A549-NR2E3,1,0,0,0
A549-NR5A2,1,0,0,0
A549-PBX1,1,0,0,0
A549-PBX3,1,0,0,0
A549-REST,1,0,0,0
A549-SIX5,1,0,0,0
A549-SP1,1,0,0,0
A549-TAF1,1,0,0,0
A549-TFCP2L1,1,0,0,0
A549-USF1,1,0,0,0
A549-ZNF302,1,0,0,0
HepG2-AGO2,1,0,0,0
HepG2-ARHGAP35,1,0,0,0
HepG2-DZIP1,1,0,0,0
HepG2-HNRNPL,1,0,0,0
HepG2-IRF5,1,0,0,0
HepG2-KLF15,1,0,0,0
HepG2-MAX,1,0,0,0
HepG2-MYC,1,0,0,0
HepG2-MZF1,1,0,0,0
HepG2-RBFOX2,1,0,0,0
HepG2-WIZ,1,0,0,0
HepG2-ZNF221,1,0,0,0
HepG2-ZNF567,1,0,0,0
HepG2-ZNF574,1,0,0,0
HepG2-ZNF608,1,0,0,0
HepG2-ZNF761,1,0,0,0
HepG2-ZNF83,1,0,0,0
K562-POLR2G,1,0,0,0
HepG2-ARID4A,0,1,0,0
HepG2-BHLHA15,0,1,0,0
HepG2-CREBL2,0,1,0,0
HepG2-FOXC1,0,1,0,0
HepG2-GATAD2B,0,1,0,0
HepG2-GLI4,0,1,0,0
HepG2-HIC2,0,1,0,0
HepG2-KAT7,0,1,0,0
HepG2-LBX2,0,1,0,0
HepG2-MTF2,0,1,0,0
HepG2-NCOA1,0,1,0,0
HepG2-NRL,0,1,0,0
HepG2-PCBP1,0,1,0,0
HepG2-RBM22,0,1,0,0
HepG2-SSRP1,0,1,0,0
HepG2-ZBTB38,0,1,0,0
HepG2-ZBTB40,0,1,0,0
HepG2-ZC3H4,0,1,0,0
HepG2-ZFP91,0,1,0,0
HepG2-ZNF234,0,1,0,0
HepG2-ZNF263,0,1,0,0
HepG2-ZNF280B,0,1,0,0
HepG2-ZNF44,0,1,0,0
HepG2-ZNF547,0,1,0,0
HepG2-ZNF747,0,1,0,0
HepG2-ZNF786,0,1,0,0
HepG2-ZNF788,0,1,0,0
HepG2-ZNF891,0,1,0,0
HepG2-ZSCAN31,0,1,0,0
K562-HDAC2,0,0,1,0
K562-HDGF,0,0,1,0
K562-IKZF1,0,0,1,0
K562-ZNF121,0,0,1,0
HepG2-ZNF326,0,0,0,1
K562-EWSR1,0,0,0,1
MCF-7-ARID3A,0,0,0,1
MCF-7-CHD1,0,0,0,1
MCF-7-E2F4,0,0,0,1
MCF-7-E2F8,0,0,0,1
MCF-7-HDGF,0,0,0,1
MCF-7-HES1,0,0,0,1
MCF-7-HSF1,0,0,0,1
MCF-7-MAZ,0,0,0,1
MCF-7-MBD2,0,0,0,1
MCF-7-MSX2,0,0,0,1
MCF-7-MYC,0,0,0,1
MCF-7-NBN,0,0,0,1
MCF-7-NEUROD1,0,0,0,1
MCF-7-OTX1,0,0,0,1
MCF-7-PAX8,0,0,0,1
MCF-7-POLR2A,0,0,0,1
MCF-7-SIN3A,0,0,0,1
MCF-7-SIX4,0,0,0,1
MCF-7-SMARCA5,0,0,0,1
MCF-7-SNIP1,0,0,0,1
MCF-7-SP1,0,0,0,1
MCF-7-SUZ12,0,0,0,1
MCF-7-TSC22D1,0,0,0,1
MCF-7-TSC22D2,0,0,0,1
MCF-7-ZBTB1,0,0,0,1
MCF-7-ZBTB33,0,0,0,1
MCF-7-ZKSCAN1,0,0,0,1
MCF-7-ZNF207,0,0,0,1
MCF-7-ZNF227,0,0,0,1
MCF-7-ZNF444,0,0,0,1
MCF-7-ZNF507,0,0,0,1
MCF-7-ZNF512B,0,0,0,1
MCF-7-ZNF579,0,0,0,1
