ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF003AMQ	HepG2	TIGD3	A549	2959575	18142	25000	5664	2069	46
ENCFF003HBS	HepG2	MED13	A549	2959575	18142	25000	12424	4098	100
ENCFF003LPE	K562	RUNX1	A549	2959575	18142	25000	3805	882	26
ENCFF003TVC	A549	USF1	A549	2959575	18142	25000	15573	4964	103
ENCFF004BLZ	HepG2	ZNF827	A549	2959575	18142	25000	9026	2967	62
ENCFF004HXL	K562	FOSL1	A549	2959575	18142	25000	12774	1933	119
ENCFF004LNW	HepG2	SATB2	A549	2959575	18142	25000	8026	2790	61
ENCFF004QJZ	HepG2	GMEB1	A549	2959575	18142	25000	21650	7062	158
ENCFF005MBI	K562	ZNF584	A549	2959575	18142	25000	14953	2360	135
ENCFF005YUC	HepG2	MAFF	A549	2959575	18142	25000	48709	1764	428
ENCFF006LDU	HepG2	ZHX2	A549	2959575	18142	25000	10682	3831	75
ENCFF007COI	HepG2	DPF2	A549	2959575	18142	25000	15281	2235	116
ENCFF009CVQ	HepG2	ERF	A549	2959575	18142	25000	31890	7133	260
ENCFF009LDQ	HepG2	ZIK1	A549	2959575	18142	25000	10991	3895	86
ENCFF009RFC	K562	GABPB1	A549	2959575	18142	25000	23436	7002	191
ENCFF010AIG	K562	MLLT1	A549	2959575	18142	25000	25466	4715	212
ENCFF011GNA	A549	NPAS2	A549	2959575	18142	25000	1949	935	20
ENCFF011OPT	HepG2	ZBTB26	A549	2959575	18142	25000	15654	4126	132
ENCFF011QFM	HepG2	FOXA1	A549	2959575	18142	25000	7147	517	58
ENCFF014HYS	K562	ZNF84	A549	2959575	18142	25000	4675	1478	42
ENCFF014RJF	HepG2	THAP4	A549	2959575	18142	25000	7349	2910	64
ENCFF015STD	HepG2	DZIP1	A549	2959575	18142	25000	9287	3102	63
ENCFF015XGN	A549	CTCF	A549	2959575	18142	25000	35427	1655	319
ENCFF016EAV	HepG2	ZNF790	A549	2959575	18142	25000	10005	3783	81
ENCFF016TWL	A549	FOXS1	A549	2959575	18142	25000	4410	2130	29
ENCFF016YNQ	HepG2	RARA	A549	2959575	18142	25000	44653	6413	350
ENCFF018HWM	K562	ZNF7	A549	2959575	18142	25000	15463	3339	115
ENCFF018TNP	K562	PRMT5	A549	2959575	18142	25000	2067	522	27
ENCFF019NGO	K562	ZNF253	A549	2959575	18142	25000	1093	205	9
ENCFF019SZJ	HepG2	GPBP1L1	A549	2959575	18142	25000	47	0	1
ENCFF020XNM	K562	SNIP1	A549	2959575	18142	25000	2166	623	19
ENCFF021JCJ	K562	ZNF12	A549	2959575	18142	25000	8006	2113	86
ENCFF021NPR	HepG2	ZBTB7A	A549	2959575	18142	25000	12766	3447	101
ENCFF021YBN	HepG2	ZBED4	A549	2959575	18142	25000	16570	4484	112
ENCFF022GRJ	HepG2	BCLAF1	A549	2959575	18142	25000	50	0	0
ENCFF022KBD	HepG2	RCOR1	A549	2959575	18142	25000	4634	1512	33
ENCFF022KBK	K562	CEBPB	A549	2959575	18142	25000	27136	2410	250
ENCFF022QCK	HepG2	HNF1B	A549	2959575	18142	25000	33596	6923	261
ENCFF023IFO	K562	NFE2	A549	2959575	18142	25000	40556	1975	331
ENCFF023JGT	K562	HSF4	A549	2959575	18142	25000	3000	378	31
ENCFF024BHX	MCF-7	OVOL1	A549	2959575	18142	25000	22830	4178	192
ENCFF024LQZ	HepG2	ZNF737	A549	2959575	18142	25000	4897	1516	27
ENCFF026PPP	HepG2	AFF4	A549	2959575	18142	25000	6926	2273	54
ENCFF028OBL	HepG2	SMC3	A549	2959575	18142	25000	33582	1529	304
ENCFF029RBI	K562	SREBF1	A549	2959575	18142	25000	2851	1027	25
ENCFF031NTF	K562	MEF2A	A549	2959575	18142	25000	6412	812	46
ENCFF032ZPF	HepG2	TAF1	A549	2959575	18142	25000	17287	7091	131
ENCFF034ASW	HepG2	ZNF335	A549	2959575	18142	25000	15193	4378	134
ENCFF034RYJ	HepG2	ZNF629	A549	2959575	18142	25000	31593	3343	271
ENCFF035OPG	HepG2	HNRNPK	A549	2959575	18142	25000	25269	4312	219
ENCFF038WQY	K562	C11orf30	A549	2959575	18142	25000	56467	4540	479
ENCFF039JSN	HepG2	THYN1	A549	2959575	18142	25000	3462	1105	34
ENCFF039TWK	A549	ESRRA	A549	2959575	18142	25000	2796	1105	17
ENCFF041YZV	HepG2	NFRKB	A549	2959575	18142	25000	1603	687	6
ENCFF042SUM	HepG2	ZNF766	A549	2959575	18142	25000	13032	4103	98
ENCFF043NUC	MCF-7	PKNOX1	A549	2959575	18142	25000	28200	3753	226
ENCFF044VTI	HepG2	RORA	A549	2959575	18142	25000	2578	597	21
ENCFF044XYZ	HepG2	ZXDC	A549	2959575	18142	25000	9359	3346	78
ENCFF045CFL	K562	ZNF274	A549	2959575	18142	25000	3153	223	22
ENCFF048BKZ	K562	SRSF3	A549	2959575	18142	25000	1806	916	14
ENCFF048GXO	HepG2	MYNN	A549	2959575	18142	25000	5579	1987	43
ENCFF048HNT	HepG2	AHDC1	A549	2959575	18142	25000	26868	4342	219
ENCFF049BWK	HepG2	E2F1	A549	2959575	18142	25000	11834	4542	93
ENCFF049ISU	HepG2	ZC3H8	A549	2959575	18142	25000	9675	3244	71
ENCFF049MDN	K562	ZNF764	A549	2959575	18142	25000	2881	627	38
ENCFF050KYT	HepG2	ZNF512B	A549	2959575	18142	25000	9652	2061	72
ENCFF050QMU	HepG2	SRF	A549	2959575	18142	25000	7165	1611	60
ENCFF051FNO	K562	PML	A549	2959575	18142	25000	20659	5186	155
ENCFF052BXQ	HepG2	RNF2	A549	2959575	18142	25000	12038	3870	92
ENCFF052NNP	HepG2	NBN	A549	2959575	18142	25000	1480	60	10
ENCFF053ABJ	K562	ZNF583	A549	2959575	18142	25000	9547	1928	86
ENCFF053PDX	K562	PHF20	A549	2959575	18142	25000	14111	4716	109
ENCFF053XYZ	K562	POLR2AphosphoS5	A549	2959575	18142	25000	30219	6837	260
ENCFF055HMB	HepG2	HNRNPH1	A549	2959575	18142	25000	2638	977	18
ENCFF057MJF	HepG2	U2AF1	A549	2959575	18142	25000	5990	2250	38
ENCFF057RJK	K562	RREB1	A549	2959575	18142	25000	8565	2270	78
ENCFF057SID	K562	NCOA2	A549	2959575	18142	25000	3259	186	33
ENCFF058VGZ	K562	ZNF184	A549	2959575	18142	25000	12450	1704	99
ENCFF058ZHN	K562	MTA1	A549	2959575	18142	25000	16046	2923	143
ENCFF060IPX	HepG2	ZEB1	A549	2959575	18142	25000	14129	3000	116
ENCFF060MHX	HepG2	ZNF865	A549	2959575	18142	25000	21351	2677	162
ENCFF060REJ	HepG2	GATAD1	A549	2959575	18142	25000	25196	6994	212
ENCFF061ZIT	HepG2	NFYC	A549	2959575	18142	25000	15453	3927	134
ENCFF062KLW	MCF-7	RAD51	A549	2959575	18142	25000	6715	1478	48
ENCFF062UNZ	HepG2	HSF2	A549	2959575	18142	25000	6223	1450	51
ENCFF063NIH	K562	L3MBTL2	A549	2959575	18142	25000	50831	8888	436
ENCFF063VRD	K562	ZNF23	A549	2959575	18142	25000	2080	285	19
ENCFF065ASC	MCF-7	NBN	A549	2959575	18142	25000	1914	375	10
ENCFF065RZP	K562	ETV1	A549	2959575	18142	25000	22205	4404	163
ENCFF066CWG	K562	FOXK2	A549	2959575	18142	25000	23190	4145	195
ENCFF066OJB	K562	CBX5	A549	2959575	18142	25000	6993	842	52
ENCFF067BCD	K562	NCOA4	A549	2959575	18142	25000	1912	283	14
ENCFF067FJF	K562	THRAP3	A549	2959575	18142	25000	4960	773	32
ENCFF067KCK	K562	SKIL	A549	2959575	18142	25000	18832	4889	161
ENCFF068IGH	K562	MXI1	A549	2959575	18142	25000	9088	2785	79
ENCFF068MGV	K562	NKRF	A549	2959575	18142	25000	17223	5303	141
ENCFF069QZX	HepG2	SIX1	A549	2959575	18142	25000	14587	2463	119
ENCFF069YFV	HepG2	NFAT5	A549	2959575	18142	25000	9162	3300	80
ENCFF070JYN	MCF-7	MTA1	A549	2959575	18142	25000	6916	2208	55
ENCFF070QDA	HepG2	ZNF639	A549	2959575	18142	25000	11857	4436	95
ENCFF070XVL	HepG2	SOX5	A549	2959575	18142	25000	41029	5893	346
ENCFF071GJH	K562	RBM34	A549	2959575	18142	25000	1085	526	10
ENCFF072JDK	K562	ZNF507	A549	2959575	18142	25000	11288	44	111
ENCFF073UWB	HepG2	KLF9	A549	2959575	18142	25000	7789	2518	54
ENCFF074XQR	HepG2	ARNT	A549	2959575	18142	25000	636	34	7
ENCFF075BRS	K562	GTF2F1	A549	2959575	18142	25000	4869	2053	35
ENCFF075OIT	K562	ARNT	A549	2959575	18142	25000	4257	752	45
ENCFF075TIU	MCF-7	TAF1	A549	2959575	18142	25000	8552	4206	72
ENCFF076ESL	HepG2	HIVEP1	A549	2959575	18142	25000	17685	5180	148
ENCFF076GSK	K562	MITF	A549	2959575	18142	25000	31436	2265	274
ENCFF076WTT	HepG2	TBX3	A549	2959575	18142	25000	13021	2614	115
ENCFF078ATH	HepG2	ZNF778	A549	2959575	18142	25000	4595	1840	29
ENCFF079EGS	K562	ZBTB5	A549	2959575	18142	25000	3061	488	23
ENCFF079ERC	K562	CSDE1	A549	2959575	18142	25000	1257	238	13
ENCFF079KQG	HepG2	ZNF768	A549	2959575	18142	25000	32306	6411	233
ENCFF079MYL	A549	ZSCAN20	A549	2959575	18142	25000	3330	1702	29
