ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF003AMQ	HepG2	TIGD3	HepG2	2959575	15836	25000	5664	924	46
ENCFF003HBS	HepG2	MED13	HepG2	2959575	15836	25000	12424	3239	100
ENCFF003LPE	K562	RUNX1	HepG2	2959575	15836	25000	3805	216	26
ENCFF003TVC	A549	USF1	HepG2	2959575	15836	25000	15573	1495	103
ENCFF004BLZ	HepG2	ZNF827	HepG2	2959575	15836	25000	9026	1113	62
ENCFF004HXL	K562	FOSL1	HepG2	2959575	15836	25000	12774	883	119
ENCFF004LNW	HepG2	SATB2	HepG2	2959575	15836	25000	8026	1586	61
ENCFF004QJZ	HepG2	GMEB1	HepG2	2959575	15836	25000	21650	3717	158
ENCFF005MBI	K562	ZNF584	HepG2	2959575	15836	25000	14953	1044	135
ENCFF005YUC	HepG2	MAFF	HepG2	2959575	15836	25000	48709	2935	428
ENCFF006LDU	HepG2	ZHX2	HepG2	2959575	15836	25000	10682	2294	75
ENCFF007COI	HepG2	DPF2	HepG2	2959575	15836	25000	15281	6440	116
ENCFF009CVQ	HepG2	ERF	HepG2	2959575	15836	25000	31890	7145	260
ENCFF009LDQ	HepG2	ZIK1	HepG2	2959575	15836	25000	10991	1566	86
ENCFF009RFC	K562	GABPB1	HepG2	2959575	15836	25000	23436	1028	191
ENCFF010AIG	K562	MLLT1	HepG2	2959575	15836	25000	25466	1062	212
ENCFF011GNA	A549	NPAS2	HepG2	2959575	15836	25000	1949	220	20
ENCFF011OPT	HepG2	ZBTB26	HepG2	2959575	15836	25000	15654	3321	132
ENCFF011QFM	HepG2	FOXA1	HepG2	2959575	15836	25000	7147	2047	58
ENCFF014HYS	K562	ZNF84	HepG2	2959575	15836	25000	4675	189	42
ENCFF014RJF	HepG2	THAP4	HepG2	2959575	15836	25000	7349	704	64
ENCFF015STD	HepG2	DZIP1	HepG2	2959575	15836	25000	9287	927	63
ENCFF015XGN	A549	CTCF	HepG2	2959575	15836	25000	35427	634	319
ENCFF016EAV	HepG2	ZNF790	HepG2	2959575	15836	25000	10005	1128	81
ENCFF016TWL	A549	FOXS1	HepG2	2959575	15836	25000	4410	720	29
ENCFF016YNQ	HepG2	RARA	HepG2	2959575	15836	25000	44653	9699	350
ENCFF018HWM	K562	ZNF7	HepG2	2959575	15836	25000	15463	692	115
ENCFF018TNP	K562	PRMT5	HepG2	2959575	15836	25000	2067	40	27
ENCFF019NGO	K562	ZNF253	HepG2	2959575	15836	25000	1093	46	9
ENCFF019SZJ	HepG2	GPBP1L1	HepG2	2959575	15836	25000	47	1	1
ENCFF020XNM	K562	SNIP1	HepG2	2959575	15836	25000	2166	88	19
ENCFF021JCJ	K562	ZNF12	HepG2	2959575	15836	25000	8006	290	86
ENCFF021NPR	HepG2	ZBTB7A	HepG2	2959575	15836	25000	12766	2289	101
ENCFF021YBN	HepG2	ZBED4	HepG2	2959575	15836	25000	16570	3691	112
ENCFF022GRJ	HepG2	BCLAF1	HepG2	2959575	15836	25000	50	0	0
ENCFF022KBD	HepG2	RCOR1	HepG2	2959575	15836	25000	4634	1068	33
