ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF003AMQ	HepG2	TIGD3	MCF7	2959575	16434	25000	5664	1063	46
ENCFF003HBS	HepG2	MED13	MCF7	2959575	16434	25000	12424	2044	100
ENCFF003LPE	K562	RUNX1	MCF7	2959575	16434	25000	3805	576	26
ENCFF003TVC	A549	USF1	MCF7	2959575	16434	25000	15573	3001	103
ENCFF004BLZ	HepG2	ZNF827	MCF7	2959575	16434	25000	9026	1473	62
ENCFF004HXL	K562	FOSL1	MCF7	2959575	16434	25000	12774	1457	119
ENCFF004LNW	HepG2	SATB2	MCF7	2959575	16434	25000	8026	1348	61
ENCFF004QJZ	HepG2	GMEB1	MCF7	2959575	16434	25000	21650	3817	158
ENCFF005MBI	K562	ZNF584	MCF7	2959575	16434	25000	14953	1546	135
ENCFF005YUC	HepG2	MAFF	MCF7	2959575	16434	25000	48709	1480	428
ENCFF006LDU	HepG2	ZHX2	MCF7	2959575	16434	25000	10682	2041	75
ENCFF007COI	HepG2	DPF2	MCF7	2959575	16434	25000	15281	1639	116
ENCFF009CVQ	HepG2	ERF	MCF7	2959575	16434	25000	31890	4878	260
ENCFF009LDQ	HepG2	ZIK1	MCF7	2959575	16434	25000	10991	1859	86
ENCFF009RFC	K562	GABPB1	MCF7	2959575	16434	25000	23436	3947	191
ENCFF010AIG	K562	MLLT1	MCF7	2959575	16434	25000	25466	2845	212
ENCFF011GNA	A549	NPAS2	MCF7	2959575	16434	25000	1949	433	20
ENCFF011OPT	HepG2	ZBTB26	MCF7	2959575	16434	25000	15654	2574	132
ENCFF011QFM	HepG2	FOXA1	MCF7	2959575	16434	25000	7147	472	58
ENCFF014HYS	K562	ZNF84	MCF7	2959575	16434	25000	4675	786	42
ENCFF014RJF	HepG2	THAP4	MCF7	2959575	16434	25000	7349	1327	64
ENCFF015STD	HepG2	DZIP1	MCF7	2959575	16434	25000	9287	1509	63
ENCFF015XGN	A549	CTCF	MCF7	2959575	16434	25000	35427	4471	319
ENCFF016EAV	HepG2	ZNF790	MCF7	2959575	16434	25000	10005	1738	81
ENCFF016TWL	A549	FOXS1	MCF7	2959575	16434	25000	4410	1058	29
ENCFF016YNQ	HepG2	RARA	MCF7	2959575	16434	25000	44653	4310	350
ENCFF018HWM	K562	ZNF7	MCF7	2959575	16434	25000	15463	2065	115
ENCFF018TNP	K562	PRMT5	MCF7	2959575	16434	25000	2067	223	27
ENCFF019NGO	K562	ZNF253	MCF7	2959575	16434	25000	1093	179	9
ENCFF019SZJ	HepG2	GPBP1L1	MCF7	2959575	16434	25000	47	1	1
ENCFF020XNM	K562	SNIP1	MCF7	2959575	16434	25000	2166	386	19
ENCFF021JCJ	K562	ZNF12	MCF7	2959575	16434	25000	8006	1128	86
ENCFF021NPR	HepG2	ZBTB7A	MCF7	2959575	16434	25000	12766	1709	101
ENCFF021YBN	HepG2	ZBED4	MCF7	2959575	16434	25000	16570	2745	112
ENCFF022GRJ	HepG2	BCLAF1	MCF7	2959575	16434	25000	50	0	0
ENCFF022KBD	HepG2	RCOR1	MCF7	2959575	16434	25000	4634	956	33
ENCFF022KBK	K562	CEBPB	MCF7	2959575	16434	25000	27136	1973	250
ENCFF022QCK	HepG2	HNF1B	MCF7	2959575	16434	25000	33596	4826	261
ENCFF023IFO	K562	NFE2	MCF7	2959575	16434	25000	40556	1369	331
ENCFF023JGT	K562	HSF4	MCF7	2959575	16434	25000	3000	287	31
ENCFF024BHX	MCF-7	OVOL1	MCF7	2959575	16434	25000	22830	5498	192
ENCFF024LQZ	HepG2	ZNF737	MCF7	2959575	16434	25000	4897	761	27
ENCFF026PPP	HepG2	AFF4	MCF7	2959575	16434	25000	6926	1345	54
ENCFF028OBL	HepG2	SMC3	MCF7	2959575	16434	25000	33582	4483	304
ENCFF029RBI	K562	SREBF1	MCF7	2959575	16434	25000	2851	607	25
ENCFF031NTF	K562	MEF2A	MCF7	2959575	16434	25000	6412	690	46
ENCFF032ZPF	HepG2	TAF1	MCF7	2959575	16434	25000	17287	2829	131
ENCFF034ASW	HepG2	ZNF335	MCF7	2959575	16434	25000	15193	2781	134
ENCFF034RYJ	HepG2	ZNF629	MCF7	2959575	16434	25000	31593	2176	271
ENCFF035OPG	HepG2	HNRNPK	MCF7	2959575	16434	25000	25269	1730	219
ENCFF038WQY	K562	C11orf30	MCF7	2959575	16434	25000	56467	2616	479
ENCFF039JSN	HepG2	THYN1	MCF7	2959575	16434	25000	3462	646	34
ENCFF039TWK	A549	ESRRA	MCF7	2959575	16434	25000	2796	618	17
ENCFF041YZV	HepG2	NFRKB	MCF7	2959575	16434	25000	1603	387	6
ENCFF042SUM	HepG2	ZNF766	MCF7	2959575	16434	25000	13032	2217	98
ENCFF043NUC	MCF-7	PKNOX1	MCF7	2959575	16434	25000	28200	4856	226
