Index	ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Poisson-statistic	P-value	CorrectedP-value	IsEnriched
0	ENCFF003AMQ	HepG2	TIGD3	A549	44.492680411677746	0.0	0.0	1
1	ENCFF003HBS	HepG2	MED13	A549	62.481846393316545	0.0	0.0	1
2	ENCFF003LPE	K562	RUNX1	A549	28.840185946755817	0.0	0.0	1
3	ENCFF003TVC	A549	USF1	A549	69.0187244369735	0.0	0.0	1
4	ENCFF004BLZ	HepG2	ZNF827	A549	53.35143329125463	0.0	0.0	1
5	ENCFF004HXL	K562	FOSL1	A549	41.337021980972466	0.0	0.0	1
6	ENCFF004LNW	HepG2	SATB2	A549	51.68569893219446	0.0	0.0	1
7	ENCFF004QJZ	HepG2	GMEB1	A549	82.18856138800129	0.0	0.0	1
8	ENCFF005MBI	K562	ZNF584	A549	45.87733995203719	0.0	0.0	1
9	ENCFF005YUC	HepG2	MAFF	A549	32.58576341413828	0.0	0.0	1
10	ENCFF006LDU	HepG2	ZHX2	A549	60.70363463621363	0.0	0.0	1
11	ENCFF007COI	HepG2	DPF2	A549	44.885919804017036	0.0	0.0	1
12	ENCFF009CVQ	HepG2	ERF	A549	81.4451335856067	0.0	0.0	1
13	ENCFF009LDQ	HepG2	ZIK1	A549	61.056023948909434	0.0	0.0	1
14	ENCFF009RFC	K562	GABPB1	A549	81.43870315387232	0.0	0.0	1
15	ENCFF010AIG	K562	MLLT1	A549	65.65266861316914	0.0	0.0	1
16	ENCFF011GNA	A549	NPAS2	A549	29.93499623879948	0.0	0.0	1
17	ENCFF011OPT	HepG2	ZBTB26	A549	62.22074136269525	0.0	0.0	1
18	ENCFF011QFM	HepG2	FOXA1	A549	20.295629522278094	0.0	0.0	1
19	ENCFF014HYS	K562	ZNF84	A549	37.373376847378715	0.0	0.0	1
20	ENCFF014RJF	HepG2	THAP4	A549	52.778707232164415	0.0	0.0	1
21	ENCFF015STD	HepG2	DZIP1	A549	54.58363413358268	0.0	0.0	1
22	ENCFF015XGN	A549	CTCF	A549	33.34017735948022	0.0	0.0	1
23	ENCFF016EAV	HepG2	ZNF790	A549	60.21190773435827	0.0	0.0	1
24	ENCFF016TWL	A549	FOXS1	A549	45.53299478814681	0.0	0.0	1
25	ENCFF016YNQ	HepG2	RARA	A549	75.82762827956478	0.0	0.0	1
26	ENCFF018HWM	K562	ZNF7	A549	55.83577741390439	0.0	0.0	1
27	ENCFF018TNP	K562	PRMT5	A549	21.696239685626363	0.0	0.0	1
28	ENCFF019NGO	K562	ZNF253	A549	13.704156243064798	0.0	0.0	1
29	ENCFF019SZJ	HepG2	GPBP1L1	A549	-1.0	0.5556512371249482	1.0	0
