,A549,HepG2,K562,MCF7
A549-ATF3,1,1,1,1
A549-ATOH8,1,1,1,1
A549-BCL3,1,1,1,1
A549-BHLHE40,1,1,1,1
A549-CEBPB,1,1,1,1
A549-CHD2,1,1,1,1
A549-CHD4,1,1,1,1
A549-CREB1,1,1,1,1
A549-CTCF,1,1,1,1
A549-E2F6,1,1,1,1
A549-EHF,1,1,1,1
A549-EHMT2,1,1,1,1
A549-ELF1,1,1,1,1
A549-ELK1,1,1,1,1
A549-EP300,1,1,1,1
A549-ESRRA,1,1,1,1
A549-ETS1,1,1,1,1
A549-FOSB,1,1,1,1
A549-FOSL2,1,1,1,1
A549-FOXA1,1,1,1,1
A549-FOXA2,1,1,1,1
A549-FOXF2,1,1,1,1
A549-FOXS1,1,1,1,1
A549-GABPA,1,1,1,1
A549-GATA3,1,1,1,1
A549-HDAC2,1,1,1,1
A549-HES2,1,1,1,1
A549-HEYL,1,1,1,1
A549-HMGA2,1,1,1,1
A549-HMGXB4,1,1,1,1
A549-HOXA7,1,1,1,1
A549-HOXB13,1,1,1,1
A549-HOXB5,1,1,1,1
A549-JUN,1,1,1,1
A549-JUNB,1,1,1,1
A549-JUND,1,1,1,1
A549-KDM1A,1,1,1,1
A549-KDM5A,1,1,1,1
A549-MAFK,1,1,1,1
A549-MAX,1,1,1,1
A549-MAZ,1,1,1,1
A549-MYC,1,1,1,1
A549-NFE2L2,1,1,1,1
A549-NPAS2,1,1,1,1
A549-NR2E3,1,1,1,1
A549-NR3C1,1,1,1,1
A549-NR5A2,1,1,1,1
A549-PBX1,1,1,1,1
A549-PBX3,1,1,1,1
A549-PHF8,1,1,1,1
A549-POLR2A,1,1,1,1
A549-POLR2AphosphoS2,1,1,1,1
A549-PRDM1,1,1,1,1
A549-RAD21,1,1,1,1
A549-RARB,1,1,1,1
A549-RCOR1,1,1,1,1
A549-REST,1,1,1,1
A549-RFX5,1,1,1,1
A549-RNF2,1,1,1,1
A549-SIN3A,1,1,1,1
A549-SIX5,1,1,1,1
A549-SMC3,1,1,1,1
A549-SP1,1,1,1,1
A549-SREBF1,1,1,1,1
A549-TAF1,1,1,1,1
A549-TCF12,1,1,1,1
A549-TEAD4,1,1,1,1
A549-TFCP2L1,1,1,1,1
A549-TP53,1,1,1,1
A549-TP63,1,1,1,1
A549-USF1,1,1,1,1
A549-USF2,1,1,1,1
A549-YY1,1,1,1,1
A549-ZBTB33,1,1,1,1
A549-ZFP36,1,1,1,1
A549-ZNF302,1,1,1,1
A549-ZNF624,1,1,1,1
A549-ZSCAN20,1,1,1,1
HepG2-ADNP,1,1,1,1
HepG2-AFF4,1,1,1,1
HepG2-AGO1,1,1,1,1
HepG2-AGO2,1,1,1,1
HepG2-AHDC1,1,1,1,1
HepG2-AHR,1,1,1,1
HepG2-AKAP8,1,1,1,1
HepG2-AKAP8L,1,1,1,1
HepG2-AKNA,1,1,1,1
HepG2-ARHGAP35,1,1,1,1
HepG2-ARID2,1,1,1,1
HepG2-ARID3A,1,1,1,1
HepG2-ARID4A,1,1,1,1
HepG2-ARID4B,1,1,1,1
HepG2-ARID5B,1,1,1,1
HepG2-ARNT,1,1,1,1
HepG2-ARNT2,1,1,1,1
HepG2-ARNTL,1,1,1,1
HepG2-ASH2L,1,1,1,1
HepG2-ATAD3A,1,1,1,1
HepG2-ATF1,1,1,1,1
HepG2-ATF2,1,1,1,1
HepG2-ATF3,1,1,1,1
HepG2-ATF4,1,1,1,1
HepG2-ATF5,1,1,1,1
HepG2-ATF6,1,1,1,1
HepG2-ATF7,1,1,1,1
HepG2-ATF7-NPFF,1,1,1,1
HepG2-ATM,1,1,1,1
HepG2-ATRX,1,1,1,1
HepG2-BATF2,1,1,1,1
HepG2-BAZ2A,1,1,1,1
HepG2-BCL3,1,1,1,1
HepG2-BCL6,1,1,1,1
HepG2-BHLHA15,1,1,1,1
HepG2-BHLHE40,1,1,1,1
HepG2-BORCS8-MEF2B,1,1,1,1
HepG2-BRCA1,1,1,1,1
HepG2-BRD4,1,1,1,1
HepG2-BRF2,1,1,1,1
HepG2-CAMTA2,1,1,1,1
HepG2-CBFB,1,1,1,1
HepG2-CBX1,1,1,1,1
