ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF003AMQ	HepG2	TIGD3	K562	2959575	15496	25000	5664	898	46
ENCFF003HBS	HepG2	MED13	K562	2959575	15496	25000	12424	1631	100
ENCFF003LPE	K562	RUNX1	K562	2959575	15496	25000	3805	1562	26
ENCFF003TVC	A549	USF1	K562	2959575	15496	25000	15573	2321	103
ENCFF004BLZ	HepG2	ZNF827	K562	2959575	15496	25000	9026	1231	62
ENCFF004HXL	K562	FOSL1	K562	2959575	15496	25000	12774	3285	119
ENCFF004LNW	HepG2	SATB2	K562	2959575	15496	25000	8026	1108	61
ENCFF004QJZ	HepG2	GMEB1	K562	2959575	15496	25000	21650	3381	158
ENCFF005MBI	K562	ZNF584	K562	2959575	15496	25000	14953	5262	135
ENCFF005YUC	HepG2	MAFF	K562	2959575	15496	25000	48709	1558	428
ENCFF006LDU	HepG2	ZHX2	K562	2959575	15496	25000	10682	1899	75
ENCFF007COI	HepG2	DPF2	K562	2959575	15496	25000	15281	1243	116
ENCFF009CVQ	HepG2	ERF	K562	2959575	15496	25000	31890	4001	260
ENCFF009LDQ	HepG2	ZIK1	K562	2959575	15496	25000	10991	1582	86
ENCFF009RFC	K562	GABPB1	K562	2959575	15496	25000	23436	5928	191
ENCFF010AIG	K562	MLLT1	K562	2959575	15496	25000	25466	6462	212
ENCFF011GNA	A549	NPAS2	K562	2959575	15496	25000	1949	387	20
ENCFF011OPT	HepG2	ZBTB26	K562	2959575	15496	25000	15654	2143	132
ENCFF011QFM	HepG2	FOXA1	K562	2959575	15496	25000	7147	220	58
ENCFF014HYS	K562	ZNF84	K562	2959575	15496	25000	4675	1128	42
ENCFF014RJF	HepG2	THAP4	K562	2959575	15496	25000	7349	1104	64
ENCFF015STD	HepG2	DZIP1	K562	2959575	15496	25000	9287	1121	63
ENCFF015XGN	A549	CTCF	K562	2959575	15496	25000	35427	2378	319
ENCFF016EAV	HepG2	ZNF790	K562	2959575	15496	25000	10005	1353	81
ENCFF016TWL	A549	FOXS1	K562	2959575	15496	25000	4410	746	29
